cod;municipio;popula
3141207;Matutina (MG);3749
3167905;Tabuleiro (MG);3750
4120333;Prado Ferreira (PR);3753
4305405;Chiapetta (RS);3756
1702703;Aurora do Tocantins (TO);3757
5215405;Ouro Verde de Goiás (GO);3759
1100262;Rio Crespo (RO);3764
2408706;Paraú (RN);3768
1710904;Itapiratins (TO);3777
3159100;Santana dos Montes (MG);3777
5214101;Mutunópolis (GO);3778
4215356;Saltinho (SC);3781
2919009;Lajedinho (BA);3783
3134509;Itutinga (MG);3788
3128501;Guarará (MG);3796
4315354;Quinze de Novembro (RS);3796
2209500;Santo Inácio do Piauí (PI);3798
2505501;Vista Serrana (PB);3798
2511004;Pedra Branca (PB);3801
4319356;São Pedro da Serra (RS);3801
3121704;Diogo de Vasconcelos (MG);3802
3141306;Medeiros (MG);3802
4109005;Guapirama (PR);3802
5104559;Itaúba (MT);3802
3541653;Quadra (SP);3804
5204557;Caldazinha (GO);3804
5108105;Tesouro (MT);3805
4121307;Rancho Alegre (PR);3808
5219357;Santa Isabel (GO);3809
4310850;Jaboticaba (RS);3810
5200829;Amaralina (GO);3812
4123824;Santa Lúcia (PR);3813
5006259;Novo Horizonte do Sul (MS);3814
3111150;Campo Azul (MG);3817
5208152;Gameleira de Goiás (GO);3818
5221908;Varjão (GO);3827
4313607;Paim Filho (RS);3828
5106208;Nova Brasilândia (MT);3829
4104055;Campo Bonito (PR);3833
1707553;Fátima (TO);3835
3522000;Itaju (SP);3835
3529609;Meridiano (SP);3836
4314035;Pareci Novo (RS);3837
2410009;Pilões (RN);3838
3160207;Santo Antônio do Itambé (MG);3838
3157609;Santa Fé de Minas (MG);3846
1711506;Jaú do Tocantins (TO);3849
5106174;Nova Nazaré (MT);3849
3542305;Redenção da Serra (SP);3851
4305959;Cotiporã (RS);3853
4213104;Piratuba (SC);3854
3163300;São José do Divino (MG);3860
4106100;Conselheiro Mairinck (PR);3860
3158409;Santana de Cataguases (MG);3872
4314308;Pejuçara (RS);3874
2201988;Brejo do Piauí (PI);3875
2204600;Hugo Napoleão (PI);3877
5218052;Porteirão (GO);3881
2513000;Salgadinho (PB);3885
4311981;Mariana Pimentel (RS);3885
3503505;Areias (SP);3886
4103958;Campina do Simão (PR);3887
2512036;Poço Dantas (PB);3888
4102208;Atalaia (PR);3892
5209408;Guarani de Goiás (GO);3893
3141900;Minduri (MG);3894
3520707;Indiaporã (SP);3897
1714302;Nazaré (TO);3898
2406155;Jundiá (RN);3898
4314779;Pontão (RS);3904
3102209;Alvarenga (MG);3907
3160108;Santo Antônio do Grama (MG);3911
2806503;Santa Rosa de Lima (SE);3913
3125002;Ewbank da Câmara (MG);3913
4315206;Putinga (RS);3919
4218350;Treviso (SC);3929
2807006;São Miguel do Aleixo (SE);3930
2510501;Olivedos (PB);3932
4219606;Xavantina (SC);3933
4208609;Jaborá (SC);3936
2207553;Paquetá (PI);3945
2202251;Canavieira (PI);3950
2201176;Barra D'Alcântara (PI);3951
3115201;Conceição da Barra de Minas (MG);3954
3507159;Bom Sucesso de Itararé (SP);3954
4113403;Leópolis (PR);3954
2918902;Lajedão (BA);3955
1720499;São Valério (TO);3960
3161601;São Geraldo da Piedade (MG);3962
3552551;Suzanápolis (SP);3963
4219408;Witmarsum (SC);3965
3127388;Goianá (MG);3966
3533205;Nova Independência (SP);3969
3148905;Pedra do Indaiá (MG);3972
3158607;Santana do Deserto (MG);3976
4207759;Iraceminha (SC);3976
4212403;Pedras Grandes (SC);3976
4123956;Santa Mônica (PR);3981
3109253;Bugre (MG);3982
4116307;Munhoz de Melo (PR);3984
2801900;Cumbe (SE);3987
3110202;Cajuri (MG);3987
2501351;Assunção (PB);3990
3520806;Inúbia Paulista (SP);3991
3100401;Acaiaca (MG);3994
2406908;Lucrécia (RN);3996
2401503;Barcelona (RN);3998
3171105;Veríssimo (MG);3999
5107578;Rondolândia (MT);4001
2514552;São José de Princesa (PB);4003
5106273;Novo Horizonte do Norte (MT);4004
2801108;Canhoba (SE);4008
4116406;Nossa Senhora das Graças (PR);4008
2508703;Mãe d'Água (PB);4009
4312054;Marques de Souza (RS);4009
5218102;Portelândia (GO);4011
3161650;São Geraldo do Baixio (MG);4012
4309951;Ibirapuitã (RS);4013
2201556;Bela Vista do Piauí (PI);4015
4120853;Quatro Pontes (PR);4015
2209153;Santa Cruz dos Milagres (PI);4019
2202737;Coivaras (PI);4020
2407252;Major Sales (RN);4020
4128658;Virmond (PR);4023
5005103;Jateí (MS);4027
3154705;Ribeirão Vermelho (MG);4033
5103361;Conquista D'Oeste (MT);4038
3140308;Marliéria (MG);4039
2912608;Ibiquera (BA);4044
4103479;Cafezal do Sul (PR);4044
2207793;Pau D'Arco do Piauí (PI);4045
3114600;Carrancas (MG);4047
3512704;Corumbataí (SP);4055
5220264;São Miguel do Passa Quatro (GO);4057
2910206;Dom Macedo Costa (BA);4058
5107297;São José do Povo (MT);4063
2205581;Lagoa do Piauí (PI);4064
4205159;Doutor Pedrinho (SC);4064
4120309;Porto Vitória (PR);4065
2908804;Contendas do Sincorá (BA);4066
2404002;Frutuoso Gomes (RN);4068
3168309;Taquaraçu de Minas (MG);4077
3535903;Paranapuã (SP);4078
4310306;Ilópolis (RS);4078
3528908;Mariápolis (SP);4084
3540853;Pracinha (SP);4093
3541109;Presidente Alves (SP);4094
1703891;Carrasco Bonito (TO);4095
4122172;Rio Branco do Ivaí (PR);4096
3501103;Alto Alegre (SP);4099
2202455;Capitão Gervásio Oliveira (PI);4100
4113106;Kaloré (PR);4100
3169059;Tocos do Moji (MG);4101
3533304;Nova Luzitânia (SP);4101
3137304;Lagoa dos Patos (MG);4102
1705607;Conceição do Tocantins (TO);4105
4103008;Boa Esperança (PR);4105
2411056;Tibau (RN);4106
3140100;Marilac (MG);4115
3502408;Anhumas (SP);4115
4107546;Espigão Alto do Iguaçu (PR);4117
2207306;Paes Landim (PI);4129
3150208;Piedade de Ponte Nova (MG);4140
2514701;São José do Sabugi (PB);4141
3157377;Santa Cruz de Salinas (MG);4142
4205100;Dona Emma (SC);4146
3549607;São José do Barreiro (SP);4147
4212270;Passos Maia (SC);4147
2703908;Jundiá (AL);4155
3165909;Senador Modestino Gonçalves (MG);4156
3500907;Altair (SP);4160
2504074;Caraúbas (PB);4162
4313490;Novo Barreiro (RS);4164
3500808;Alfredo Marcondes (SP);4166
3531605;Monte Castelo (SP);4166
3540408;Populina (SP);4169
2414753;Venha-Ver (RN);4177
3508900;Caiabu (SP);4191
3122603;Dom Joaquim (MG);4195
3163201;São José do Alegre (MG);4196
3502606;Aparecida d'Oeste (SP);4196
4313391;Novo Cabrais (RS);4196
5201504;Aporé (GO);4198
2514008;São João do Cariri (PB);4199
2410801;Riacho de Santana (RN);4204
2512200;Prata (PB);4209
4210902;Modelo (SC);4209
4301875;Barra do Quaraí (RS);4215
3107604;Bom Jesus da Penha (MG);4217
3521200;Iporanga (SP);4218
3131406;Ipiaçu (MG);4221
2411908;São Francisco do Oeste (RN);4228
3522653;Itapirapuã Paulista (SP);4241
5208103;Formoso (GO);4248
4117214;Nova Santa Bárbara (PR);4249
3150000;Pescador (MG);4252
4106571;Cruzeiro do Iguaçu (PR);4252
2408607;Paraná (RN);4254
2408409;Olho d'Água do Borges (RN);4258
3123304;Dores do Turvo (MG);4259
1715002;Nova Rosalândia (TO);4260
3152131;Ponto Chique (MG);4261
4119707;Planaltina do Paraná (PR);4263
3508306;Cabrália Paulista (SP);4264
4201273;Arabutã (SC);4267
3163003;São José da Safira (MG);4268
4321857;Três Palmeiras (RS);4271
4323457;Vila Nova do Sul (RS);4280
3533700;Ocauçu (SP);4289
5213905;Mossâmedes (GO);4290
1718501;Recursolândia (TO);4293
3166501;Serra Azul de Minas (MG);4293
2210631;Sebastião Leal (PI);4294
3159001;Santana do Riacho (MG);4295
3545506;Sandovalina (SP);4302
3170438;União de Minas (MG);4304
3201803;Divino de São Lourenço (ES);4304
2512077;Poço de José de Moura (PB);4307
1101559;Teixeirópolis (RO);4308
2208858;Riacho Frio (PI);4312
2207751;Passagem Franca do Piauí (PI);4313
1711951;Lagoa do Tocantins (TO);4316
4308458;Fortaleza dos Valos (RS);4320
4309159;Gramado Xavier (RS);4325
3136801;Juramento (MG);4331
4211454;Nova Itaberaba (SC);4331
2508554;Logradouro (PB);4332
3108701;Brás Pires (MG);4333
1715101;Novo Acordo (TO);4342
2700805;Belém (AL);4344
2204105;Francisco Ayres (PI);4348
3127206;Funilândia (MG);4349
3127404;Gonçalves (MG);4350
3135308;Japaraíba (MG);4350
4314472;Pinhal Grande (RS);4350
5212956;Matrinchã (GO);4351
2203420;Domingos Mourão (PI);4355
3132602;Itamarati de Minas (MG);4355
4323408;Vila Maria (RS);4358
2207959;Nova Santa Rita (PI);4374
4312203;Maximiliano de Almeida (RS);4377
3534005;Onda Verde (SP);4381
1703867;Cariri do Tocantins (TO);4382
2211407;Várzea Grande (PI);4391
4311908;Marcelino Ramos (RS);4402
4110003;Iguaraçu (PR);4404
4115457;Marquinho (PR);4405
5203575;Bonópolis (GO);4405
3149606;Pequi (MG);4406
4309753;Ibarama (RS);4406
3157500;Santa Efigênia de Minas (MG);4409
3120102;Couto de Magalhães de Minas (MG);4410
3126307;Fortaleza de Minas (MG);4412
4205209;Erval Velho (SC);4412
3162658;São João do Pacuí (MG);4419
2514107;São João do Tigre (PB);4422
3157302;Santa Bárbara do Tugúrio (MG);4430
2413201;Senador Georgino Avelino (RN);4440
2203255;Curralinhos (PI);4443
2900603;Aiquara (BA);4446
4207601;Ipira (SC);4446
1717008;Pindorama do Tocantins (TO);4447
2209559;São Braz do Piauí (PI);4448
2411700;São Bento do Trairí (RN);4449
4121257;Ramilândia (PR);4451
2205300;Jerumenha (PI);4452
4204350;Cordilheira Alta (SC);4453
4110409;Indianópolis (PR);4457
1703206;Bernardo Sayão (TO);4459
3140605;Materlândia (MG);4459
2211704;Wall Ferraz (PI);4462
2203800;Flores do Piauí (PI);4463
2911253;Gavião (BA);4463
4110904;Itaguajé (PR);4466
2411007;Rodolfo Fernandes (RN);4467
4106704;Cruzeiro do Sul (PR);4469
2208874;Ribeira do Piauí (PI);4477
3114808;Carvalhos (MG);4478
5213772;Montividiu do Norte (GO);4479
3508207;Buritizal (SP);4481
4304002;Campo Novo (RS);4484
3100807;Aguanil (MG);4486
3146404;Paineiras (MG);4486
3532108;Murutinga do Sul (SP);4486
4219176;Vargem Bonita (SC);4492
5218789;Rio Quente (GO);4493
4126355;Serranópolis do Iguaçu (PR);4495
5215256;Novo Planalto (GO);4495
3150307;Piedade do Rio Grande (MG);4497
2201804;Bocaina (PI);4500
2509339;Matinhas (PB);4500
3136520;José Gonçalves de Minas (MG);4501
3546207;Santa Cruz da Conceição (SP);4503
2205250;Jardim do Mulato (PI);4504
2512762;Riachão do Poço (PB);4509
4120655;Quarto Centenário (PR);4512
4312153;Mato Leitão (RS);4515
5108808;Nova Guarita (MT);4519
2512754;Riachão do Bacamarte (PB);4521
3525607;João Ramalho (SP);4523
3112059;Cantagalo (MG);4525
5107248;Santa Carmem (MT);4525
2513927;São Bentinho (PB);4529
2206654;Morro Cabeça no Tempo (PI);4532
3554201;Tejupá (SP);4532
4308078;Fazenda Vilanova (RS);4533
4107538;Entre Rios do Oeste (PR);4539
5210802;Itajá (GO);4539
3543204;Ribeirão do Sul (SP);4541
4218756;Tunápolis (SC);4543
2607109;Ingazeira (PE);4548
2206001;Marcos Parente (PI);4549
4306734;Doutor Maurício Cardoso (RS);4549
2204550;Guaribas (PI);4562
3111705;Canaã (MG);4563
4209854;Lindóia do Sul (SC);4563
2210904;Socorro do Piauí (PI);4569
4322152;Tunas (RS);4569
2210359;São Lourenço do Piauí (PI);4573
2513802;Santa Teresinha (PB);4573
3136108;Joanésia (MG);4573
4121109;Quinta do Sol (PR);4573
3117405;Conceição de Ipanema (MG);4574
3127057;Fronteira dos Vales (MG);4581
3527801;Lupércio (SP);4584
2110807;São Félix de Balsas (MA);4585
4311718;Maçambará (RS);4587
1703073;Barra do Ouro (TO);4591
3156452;Rosário da Limeira (MG);4594
1717800;Ponte Alta do Bom Jesus (TO);4596
4215075;Riqueza (SC);4598
5221502;Turvânia (GO);4598
2407609;Messias Targino (RN);4601
3106606;Bertópolis (MG);4604
3156106;Ritápolis (MG);4604
2209856;São João da Canabrava (PI);4608
4214904;Rio Fortuna (SC);4611
4107850;Flor da Serra do Sul (PR);4624
3540259;Pontalinda (SP);4628
2209351;Santana do Piauí (PI);4634
2412401;São José do Seridó (RN);4634
1718550;Riachinho (TO);4645
4108452;Foz do Jordão (PR);4650
3112208;Capela Nova (MG);4653
3531704;Monteiro Lobato (SP);4653
4315750;Riozinho (RS);4653
2205565;Lagoa do Barro do Piauí (PI);4655
3145851;Oratórios (MG);4655
4318424;São João da Urtiga (RS);4657
3163904;São Pedro da União (MG);4659
4304671;Capivari do Sul (RS);4660
2508109;Lagoa (PB);4666
2111573;São Pedro dos Crentes (MA);4668
4323101;Vicente Dutra (RS);4670
4113452;Lindoeste (PR);4676
5210562;Itaguari (GO);4676
4315008;Porto Lucena (RS);4678
4115507;Marumbi (PR);4679
3512605;Coronel Macedo (SP);4681
2202851;Coronel José Dias (PI);4682
2514404;São José de Espinharas (PB);4682
4213302;Ponte Alta (SC);4682
2107308;Nova Iorque (MA);4683
1707306;Dueré (TO);4686
4305132;Cerro Branco (RS);4691
3124401;Espírito Santo do Dourado (MG);4692
3136405;Joaquim Felício (MG);4695
4206652;Guatambú (SC);4704
4309803;Ibiaçá (RS);4709
1718808;Sampaio (TO);4711
3102506;Amparo do Serra (MG);4713
3543105;Ribeirão Corrente (SP);4718
4215406;Salto Veloso (SC);4718
4320859;Tabaí (RS);4719
2201002;Arraial (PI);4727
5107404;São Pedro da Cipa (MT);4727
3144409;Natércia (MG);4730
2400604;Almino Afonso (RN);4735
3106655;Berizal (MG);4735
4306304;David Canabarro (RS);4740
4202503;Bom Jardim da Serra (SC);4743
4303400;Caiçara (RS);4743
5102694;Canabrava do Norte (MT);4743
4305504;Ciríaco (RS);4747
3125408;Felício dos Santos (MG);4753
2702702;Feliz Deserto (AL);4754
4322905;Viadutos (RS);4756
3157401;Santa Cruz do Escalvado (MG);4758
3532058;Motuca (SP);4758
2406809;Lajes Pintadas (RN);4759
4312807;Nova Araçá (RS);4759
4107702;Fênix (PR);4762
4309704;Humaitá (RS);4762
2205532;Jurema (PI);4763
3168101;Tapira (MG);4773
3525805;Júlio Mesquita (SP);4776
3548401;Santópolis do Aguapeí (SP);4777
3555505;Ubirajara (SP);4780
3166956;Serranópolis de Minas (MG);4781
2504702;Congo (PB);4786
4122651;Rosário do Ivaí (PR);4786
4215208;Romelândia (SC);4786
3135902;Jesuânia (MG);4787
4113601;Lobato (PR);4787
3516853;Gavião Peixoto (SP);4789
4113759;Lunardelli (PR);4794
1701101;Aparecida do Rio Negro (TO);4795
3105202;Bandeira (MG);4795
2413557;Serrinha dos Pintos (RN);4800
3108800;Braúnas (MG);4801
4200903;Angelina (SC);4801
5218706;Rianápolis (GO);4801
2202802;Conceição do Canindé (PI);4803
4318481;São José do Hortêncio (RS);4804
5208301;Divinópolis de Goiás (GO);4804
1720309;São Sebastião do Tocantins (TO);4805
3154408;Ressaquinha (MG);4808
3516804;Gastão Vidigal (SP);4808
2408508;Ouro Branco (RN);4812
3517109;Glicério (SP);4815
2509602;Monte Horebe (PB);4816
3158805;Santana do Jacaré (MG);4821
5219712;Santo Antônio da Barra (GO);4821
3507308;Boracéia (SP);4823
4312104;Mata (RS);4823
1718907;Santa Rosa do Tocantins (TO);4829
3515194;Espírito Santo do Turvo (SP);4829
3148400;Paulistas (MG);4830
5007307;Rio Negro (MS);4831
3171154;Vermelho Novo (MG);4839
2209955;São João da Varjota (PI);4840
3116407;Claraval (MG);4843
2304806;Granjeiro (CE);4844
3161403;São Francisco do Glória (MG);4844
4303301;Caibaté (RS);4846
4120101;Porto Amazonas (PR);4848
1716307;Pau D'Arco (TO);4849
1705557;Combinado (TO);4852
2504355;Caturité (PB);4852
4322251;Tupandi (RS);4855
3532207;Narandiba (SP);4857
4307203;Erval Grande (RS);4859
2205276;Jatobá do Piauí (PI);4865
4309555;Harmonia (RS);4866
3136579;Josenópolis (MG);4867
3104809;Augusto de Lima (MG);4869
2206753;Nossa Senhora de Nazaré (PI);4870
3530409;Mirassolândia (SP);4871
4314498;Pinheirinho do Vale (RS);4871
3159308;Santa Rita de Jacutinga (MG);4884
3520608;Indiana (SP);4885
5214051;Mundo Novo (GO);4887
3142254;Miravânia (MG);4888
2202711;Cocal de Telha (PI);4891
2501534;Baraúna (PB);4892
1703305;Bom Jesus do Tocantins (TO);4894
3526308;Lagoinha (SP);4896
4300034;Aceguá (RS);4901
2803104;Itabi (SE);4903
2510303;Nova Palmeira (PB);4906
3143153;Monte Formoso (MG);4906
3523008;Itapura (SP);4906
2402907;Coronel João Pessoa (RN);4912
3135407;Jeceaba (MG);4912
2200277;Alegrete do Piauí (PI);4915
2203602;Eliseu Martins (PI);4915
3162252;São João da Lagoa (MG);4915
2607406;Itacuruba (PE);4918
3138351;Leme do Prado (MG);4918
3142304;Moeda (MG);4919
4113809;Lupionópolis (PR);4920
4312302;Miraguaí (RS);4925
4107801;Floraí (PR);4929
2504207;Catingueira (PB);4932
4122909;Salto do Itararé (PR);4935
3150539;Pingo d'Água (MG);4941
2211357;Várzea Branca (PI);4947
2203230;Currais (PI);4954
4312609;Muçum (RS);4954
3509809;Campos Novos Paulista (SP);4965
3128253;Guaraciama (MG);4972
2502300;Bom Sucesso (PB);4975
2511707;Pilõezinhos (PB);4976
3122108;Divino das Laranjeiras (MG);4979
4219358;Vitor Meireles (SC);4979
3120839;Cuparaque (MG);4982
3150406;Piedade dos Gerais (MG);4982
3115474;Catuti (MG);4986
4124004;Santana do Itararé (PR);4992
4112306;Japira (PR);4994
3136553;José Raydan (MG);4995
3502002;Analândia (SP);4995
4209151;José Boiteux (SC);4997
5211008;Itapirapuã (GO);4997
3163102;São José da Varginha (MG);5004
3170651;Vargem Grande do Rio Pardo (MG);5007
2706208;Palestina (AL);5011
3121308;Descoberto (MG);5013
2209807;São Gonçalo do Piauí (PI);5015
4211405;Nova Erechim (SC);5019
3129400;Ibertioga (MG);5021
2515930;Sertãozinho (PB);5024
3120607;Crucilândia (MG);5034
3169802;Turvolândia (MG);5040
2207405;Palmeira do Piauí (PI);5043
2202117;Campo Alegre do Fidalgo (PI);5045
3118106;Congonhas do Norte (MG);5045
4116950;Nova Esperança do Sudoeste (PR);5046
2405405;Japi (RN);5055
4303202;Cacique Doble (RS);5065
2202554;Caridade do Piauí (PI);5067
3138500;Liberdade (MG);5069
5205208;Caturaí (GO);5070
3122504;Dom Cavati (MG);5072
4302659;Brochier (RS);5074
5106281;Novo São Joaquim (MT);5074
4107108;Diamante do Norte (PR);5087
3107208;Bocaina de Minas (MG);5090
2410504;Rafael Fernandes (RN);5098
3139102;Madre de Deus de Minas (MG);5098
4320305;Selbach (RS);5100
3127339;Gameleiras (MG);5109
1600550;Pracuúba (AP);5120
4126702;Tamboara (PR);5120
1708304;Goianorte (TO);5123
2705903;Olho d'Água Grande (AL);5123
4316204;Rondinha (RS);5130
3105707;Barra Longa (MG);5131
2802007;Divina Pastora (SE);5138
3509957;Canas (SP);5138
5203104;Baliza (GO);5138
2200103;Agricolândia (PI);5139
3120409;Cristiano Otoni (MG);5150
3155108;Rio do Prado (MG);5150
5107206;Rio Branco (MT);5156
4120358;Pranchita (PR);5157
4206603;Guarujá do Sul (SC);5160
2513505;Santana de Mangueira (PB);5162
5220157;São Luiz do Norte (GO);5167
3123106;Dores de Guanhães (MG);5169
1101484;São Felipe D'Oeste (RO);5172
5107792;Santo Antônio do Leste (MT);5174
1712504;Marianópolis do Tocantins (TO);5175
2205599;Lagoa do Sítio (PI);5177
2305100;Guaramiranga (CE);5193
3135704;Jequitibá (MG);5211
4109658;Honório Serpa (PR);5211
3532702;Nipoã (SP);5213
3126604;Francisco Dumont (MG);5215
3510153;Canitar (SP);5216
4311601;Liberato Salzano (RS);5219
5103437;Curvelândia (MT);5219
2505279;Curral de Cima (PB);5227
3501400;Álvaro de Carvalho (SP);5227
3104452;Aricanduva (MG);5231
3158102;Santa Maria do Salto (MG);5232
2111631;São Raimundo do Doca Bezerra (MA);5237
2408805;Parazinho (RN);5237
3122702;Dom Silvério (MG);5237
3539608;Planalto (SP);5237
5210604;Itaguaru (GO);5237
4112207;Janiópolis (PR);5245
3164100;São Pedro do Suaçuí (MG);5246
4202701;Botuverá (SC);5246
3172103;Volta Grande (MG);5252
2703403;Jacaré dos Homens (AL);5253
4107157;Diamante D'Oeste (PR);5253
2209377;Santa Rosa do Piauí (PI);5257
3541059;Pratânia (SP);5261
1707652;Figueirópolis (TO);5263
2502706;Borborema (PB);5263
4319208;São Nicolau (RS);5265
3518909;Guzolândia (SP);5267
2405207;Janduís (RN);5268
4111704;Jaboti (PR);5274
4301800;Barracão (RS);5275
5221551;Turvelândia (GO);5281
4126405;Sertaneja (PR);5284
3160801;São Bento Abade (MG);5286
2205607;Landri Sales (PI);5295
3145372;Novorizonte (MG);5299
3545100;Salmourão (SP);5300
4116802;Nova Cantu (PR);5302
4120408;Presidente Castelo Branco (PR);5306
2203750;Fartura do Piauí (PI);5307
1100031;Cabixi (RO);5312
1720101;São Bento do Tocantins (TO);5324
2705309;Minador do Negrão (AL);5329
2505352;Damião (PB);5330
2203271;Curral Novo do Piauí (PI);5343
5000252;Alcinópolis (MS);5343
2210052;São José do Divino (PI);5346
2204006;Francinópolis (PI);5348
2517209;Vieirópolis (PB);5348
4218103;Timbé do Sul (SC);5348
2205904;Manoel Emídio (PI);5349
2909505;Cravolândia (BA);5349
4313037;Nova Esperança do Sul (RS);5352
3165578;Senador Amaral (MG);5356
2502102;Boa Ventura (PB);5366
1703909;Caseara (TO);5369
3127073;Fruta de Leite (MG);5369
3153103;Presidente Bernardes (MG);5369
3123858;Entre Folhas (MG);5370
3115359;Catas Altas (MG);5376
3171907;Virgolândia (MG);5380
2107258;Nova Colinas (MA);5384
3132008;Itacambira (MG);5385
1700350;Aliança do Tocantins (TO);5390
3126752;Franciscópolis (MG);5391
3521150;Ipiguá (SP);5392
1600055;Serra do Navio (AP);5397
3105509;Barão de Monte Alto (MG);5397
5100102;Acorizal (MT);5399
3129657;Ibiracatu (MG);5400
1720655;Silvanópolis (TO);5403
3504305;Avaí (SP);5403
3135076;Jampruca (MG);5404
3121001;Datas (MG);5410
5106802;Porto dos Gaúchos (MT);5410
4320503;Sertão (RS);5415
2200459;Alvorada do Gurguéia (PI);5419
3133907;Itaverava (MG);5419
3163409;São José do Goiabal (MG);5420
2202653;Caxingó (PI);5424
4319109;São Martinho (RS);5426
4103354;Braganey (PR);5427
3112109;Caparaó (MG);5438
4124509;Santo Inácio (PR);5438
4305447;Chuvisca (RS);5441
2204352;Geminiano (PI);5442
2205458;Joca Marques (PI);5443
4311700;Machadinho (RS);5445
3138708;Luminárias (MG);5446
4200309;Agronômica (SC);5448
4303806;Campinas do Sul (RS);5454
5219258;Santa Fé de Goiás (GO);5459
2900900;Almadina (BA);5464
3112653;Capitão Andrade (MG);5468
3150901;Piranguçu (MG);5472
3155207;Rio Espera (MG);5474
4303707;Campina das Missões (RS);5474
3155900;Rio Preto (MG);5476
1716653;Pequizeiro (TO);5477
2205516;Juazeiro do Piauí (PI);5478
4321352;Tavares (RS);5481
1505551;Pau D'Arco (PA);5483
3159506;Santa Rita do Itueto (MG);5489
3529500;Mendonça (SP);5490
2500536;Alcantil (PB);5492
3108206;Bonfinópolis de Minas (MG);5493
3110103;Caiana (MG);5496
1703701;Brejinho de Nazaré (TO);5497
2401602;Bento Fernandes (RN);5497
4310538;Itaara (RS);5499
5007505;Rochedo (MS);5499
2414704;Várzea (RN);5500
4126272;Saudade do Iguaçu (PR);5500
2201705;Bertolínia (PI);5501
4109203;Guaraci (PR);5502
1600253;Itaubal (AP);5503
3164407;São Sebastião da Bela Vista (MG);5504
2402808;Coronel Ezequiel (RN);5506
3117603;Conceição do Pará (MG);5507
3146750;Palmópolis (MG);5507
2413706;Sítio Novo (RN);5522
3203601;Mucurici (ES);5524
3543501;Riversul (SP);5524
4308706;Gaurama (RS);5534
4115853;Mercedes (PR);5536
4126900;Tapira (PR);5539
5103908;General Carneiro (MT);5540
4216057;São Cristóvão do Sul (SC);5549
2409332;Santa Maria (RN);5551
4125308;São Jorge do Ivaí (PR);5551
3167707;Sobrália (MG);5553
5006275;Paraíso das Águas (MS);5555
3553203;Taiúva (SP);5566
4128633;Doutor Ulysses (PR);5580
4320354;Sentinela do Sul (RS);5581
2802205;Feira Nova (SE);5584
1706001;Couto Magalhães (TO);5588
3544608;Sabino (SP);5590
2903300;Barro Preto (BA);5591
5107354;São José do Xingu (MT);5595
3302452;Macuco (RJ);5599
3546504;Santa Ernestina (SP);5599
5208509;Goiandira (GO);5600
3111903;Cana Verde (MG);5603
4115358;Maripá (PR);5603
3141702;Mesquita (MG);5605
4118451;Pato Bragado (PR);5610
2503100;Cabaceiras (PB);5611
2202109;Campinas do Piauí (PI);5613
2910909;Firmino Alves (BA);5617
4108700;Grandes Rios (PR);5618
3503000;Aramina (SP);5620
2205524;Júlio Borges (PI);5627
2201919;Bom Princípio do Piauí (PI);5630
1703107;Barrolândia (TO);5632
2101806;Benedito Leite (MA);5632
5207600;Fazenda Nova (GO);5637
2403301;Encanto (RN);5638
4200804;Anchieta (SC);5638
3129103;Gurinhatã (MG);5639
2500205;Aguiar (PB);5640
4125357;São Jorge do Patrocínio (PR);5641
2101350;Bacurituba (MA);5644
3160959;São Domingos das Dores (MG);5644
4107736;Fernandes Pinheiro (PR);5646
4117271;Nova Tebas (PR);5649
2929354;São José da Vitória (BA);5657
2111953;Sucupira do Riachão (MA);5660
2910776;Feira da Mata (BA);5665
2509503;Montadas (PB);5669
2201929;Bonfim do Piauí (PI);5670
2109700;Sambaíba (MA);5671
4114708;Maria Helena (PR);5677
4322103;Tucunduva (RS);5678
4128807;Xambrê (PR);5679
4201901;Aurora (SC);5679
3148202;Patrocínio do Muriaé (MG);5684
4210035;Luzerna (SC);5685
3507704;Braúna (SP);5686
4300877;Araricá (RS);5698
5103106;Cocalinho (MT);5700
4314068;Passa Sete (RS);5702
3116001;Chalé (MG);5704
4321477;Tiradentes do Sul (RS);5704
2903102;Barra do Rocha (BA);5714
3171071;Veredinha (MG);5720
4126108;São Tomé (PR);5722
3136959;Juvenília (MG);5724
3505351;Barra do Chapéu (SP);5724
3136603;Nova União (MG);5725
1702158;Araguanã (TO);5729
3504701;Balbinos (SP);5735
5200175;Água Fria de Goiás (GO);5735
2205151;Jacobina do Piauí (PI);5741
4314423;Picada Café (RS);5742
3105301;Bandeira do Sul (MG);5746
2603405;Calumbi (PE);5750
2209658;São Francisco de Assis do Piauí (PI);5755
1701309;Aragominas (TO);5758
2508802;Malta (PB);5759
2413300;Serra de São Bento (RN);5762
3517307;Guaimbê (SP);5765
2703700;Jaramataia (AL);5770
2202091;Caldeirão Grande do Piauí (PI);5776
5203807;Britânia (GO);5779
3515608;Fernando Prestes (SP);5783
3166006;Senhora de Oliveira (MG);5786
3527702;Luiziânia (SP);5790
4319307;São Paulo das Missões (RS);5790
4321956;Trindade do Sul (RS);5802
4117206;Nova Olímpia (PR);5806
3554904;Três Fronteiras (SP);5807
2926657;Ribeirão do Largo (BA);5812
2802601;Gracho Cardoso (SE);5818
5222302;Vila Propício (GO);5821
4217253;São Pedro de Alcântara (SC);5823
3533254;Novais (SP);5830
3155306;Rio Manso (MG);5832
2918555;Jussari (BA);5833
2200905;Aroazes (PI);5835
2112274;Tufilândia (MA);5840
